child,parent
PSMA1,R-HSA-176409
PSMA2,R-HSA-176409
PSMA3,R-HSA-176409
PSMA4,R-HSA-176409
PSMA5,R-HSA-176409
PSMA6,R-HSA-176409
PSMA7,R-HSA-176409
PSMB1,R-HSA-176409
PSMB2,R-HSA-176409
PSMB3,R-HSA-176409
PSMB4,R-HSA-176409
PSMB5,R-HSA-176409
PSMB6,R-HSA-176409
PSMB7,R-HSA-176409
PSMC1,R-HSA-176409
PSMC2,R-HSA-176409
PSMC3,R-HSA-176409
PSMC4,R-HSA-176409
PSMC5,R-HSA-176409
PSMC6,R-HSA-176409
PSMD1,R-HSA-176409
PSMD11,R-HSA-176409
PSMD12,R-HSA-176409
PSMD13,R-HSA-176409
PSMD14,R-HSA-176409
PSMD2,R-HSA-176409
PSMD3,R-HSA-176409
PSMD6,R-HSA-176409
PSMD7,R-HSA-176409
PSMD8,R-HSA-176409
PTTG1,R-HSA-176409
RPS27A,R-HSA-176409
SEM1,R-HSA-176409
UBA52,R-HSA-176409
UBB,R-HSA-176409
UBC,R-HSA-176409
UBE2C,R-HSA-176409
UBE2D1,R-HSA-176409
UBE2E1,R-HSA-176409
UBE2S,R-HSA-176409
ADRM1,R-HSA-174178
ANAPC1,R-HSA-174178
ANAPC10,R-HSA-174178
ANAPC11,R-HSA-174178
ANAPC15,R-HSA-174178
ANAPC16,R-HSA-174178
ANAPC2,R-HSA-174178
ANAPC4,R-HSA-174178
ANAPC5,R-HSA-174178
ANAPC7,R-HSA-174178
AURKA,R-HSA-174178
AURKB,R-HSA-174178
CDC16,R-HSA-174178
CDC20,R-HSA-174178
CDC23,R-HSA-174178
CDC26,R-HSA-174178
CDC27,R-HSA-174178
FZR1,R-HSA-174178
PLK1,R-HSA-174178
PSMA1,R-HSA-174178
PSMA2,R-HSA-174178
PSMA3,R-HSA-174178
PSMA4,R-HSA-174178
PSMA5,R-HSA-174178
PSMA6,R-HSA-174178
PSMA7,R-HSA-174178
PSMB1,R-HSA-174178
PSMB2,R-HSA-174178
PSMB3,R-HSA-174178
PSMB4,R-HSA-174178
PSMB5,R-HSA-174178
PSMB6,R-HSA-174178
PSMB7,R-HSA-174178
PSMC1,R-HSA-174178
PSMC2,R-HSA-174178
PSMC3,R-HSA-174178
PSMC4,R-HSA-174178
PSMC5,R-HSA-174178
PSMC6,R-HSA-174178
PSMD1,R-HSA-174178
PSMD11,R-HSA-174178
PSMD12,R-HSA-174178
PSMD13,R-HSA-174178
PSMD14,R-HSA-174178
PSMD2,R-HSA-174178
PSMD3,R-HSA-174178
PSMD6,R-HSA-174178
PSMD7,R-HSA-174178
PSMD8,R-HSA-174178
PTTG1,R-HSA-174178
RB1,R-HSA-174178
RPS27A,R-HSA-174178
SEM1,R-HSA-174178
SKP2,R-HSA-174178
UBA52,R-HSA-174178
UBB,R-HSA-174178
UBC,R-HSA-174178
UBE2C,R-HSA-174178
UBE2D1,R-HSA-174178
UBE2E1,R-HSA-174178
UBE2S,R-HSA-174178
ADRM1,R-HSA-179419
ANAPC1,R-HSA-179419
ANAPC10,R-HSA-179419
ANAPC11,R-HSA-179419
ANAPC15,R-HSA-179419
ANAPC16,R-HSA-179419
ANAPC2,R-HSA-179419
ANAPC4,R-HSA-179419
ANAPC5,R-HSA-179419
ANAPC7,R-HSA-179419
BUB1B,R-HSA-179419
BUB3,R-HSA-179419
CCNA1,R-HSA-179419
CCNA2,R-HSA-179419
CDC16,R-HSA-179419
CDC20,R-HSA-179419
CDC23,R-HSA-179419
CDC26,R-HSA-179419
CDC27,R-HSA-179419
CDK1,R-HSA-179419
MAD2L1,R-HSA-179419
NEK2,R-HSA-179419
PSMA1,R-HSA-179419
PSMA2,R-HSA-179419
PSMA3,R-HSA-179419
PSMA4,R-HSA-179419
PSMA5,R-HSA-179419
PSMA6,R-HSA-179419
PSMA7,R-HSA-179419
PSMB1,R-HSA-179419
PSMB2,R-HSA-179419
PSMB3,R-HSA-179419
PSMB4,R-HSA-179419
PSMB5,R-HSA-179419
PSMB6,R-HSA-179419
PSMB7,R-HSA-179419
PSMC1,R-HSA-179419
PSMC2,R-HSA-179419
PSMC3,R-HSA-179419
PSMC4,R-HSA-179419
PSMC5,R-HSA-179419
PSMC6,R-HSA-179419
PSMD1,R-HSA-179419
PSMD11,R-HSA-179419
