Gene,SVM_Mean_Abs_SHAP,SVM_Rank
SORCS3,0.018031128061722128,512
VGF,0.01800259037786098,513
CORIN,0.01790383763928202,514
SCN7A,0.017892755537321184,515
WLS,0.017831931269468394,516
LAMA4,0.017828292321133764,517
TNC,0.017790268548785976,518
SLIT2,0.017603789916774918,519
ARHGAP31,0.017493216152614705,520
MT-ND4L,0.01744945141499219,521
AR,0.017368439282027897,522
TXNIP,0.017337142722871766,523
SLC4A4,0.017311480244188646,524
B3GAT2,0.01729458550513197,525
KHDRBS3,0.01728220947088578,526
EFEMP1,0.017260687280191627,527
PTPRC,0.017243313457248565,528
SYT9,0.017212763075139307,529
DNAJB1,0.01720436717693558,530
NRGN,0.017139781635537046,531
HSPD1,0.017045545442045555,532
ETS1,0.0170112497032036,533
VCAN,0.016969051425157818,534
MAN1A1,0.016939674000245517,535
MARCO,0.016930513443705244,536
ARSJ,0.01689444130279795,537
MS4A3,0.016890194692527075,538
DOCK8,0.01683676523404468,539
PDE3A,0.016783710747731856,540
TGFB2,0.01677115943172964,541
GLP2R,0.016743054121142208,542
